0616580101;1410511620161224;プリティマックス　　　　　　　　　　;1200;2;1;1;20;11;A3;002;3; ;　　　　　　　　　　　　　　　　　　　　　　　　　;16;    ;  ; ; 010;113;1540柴田;善臣　　菊川;正達　　  ; 2;.30;1  ;   ;   ;   ;   ;   ;   ;   ;   ;   ; ; ;  ; ; ; ; ;     ;     ;     ;     ;    メリ;ークン;  0;01 ;  384                   ;  ;      ;      ;      ;  ;  ; 0;00;008;05 ;     ;10324;103;614;2;4; ; 010   ;       ;     ;     ;  ;  ; ;         
0616580102;1410517820161224;メリークン　　　　　　　　　　　　　;1200;2;1;1;20;11;A3;002;3; ;　　　　　　　　　　　　　　　　　　　　　　　　　;16;    ;  ; ; 020;113;2550吉田;豊　　　田村;康仁　　  ; 4;.90;3  ;   ;   ;   ;   ;   ;   ;   ;   ;   ; ; ;  ; ; ; ; ;     ;     ;     ;     ;    プリ;ティマ;ッ00;1  ; 394                    ;  ;      ;      ;      ;  ;  ;00;00;010;1  ;    1;04161;033;346;2;+; ;210    ;       ;     ;     ;  ;  ; ;        
0616580103;1410482620161224;シゲルパンダ　　　　　　　　　　　　;1200;2;1;1;20;11;A3;002;3; ;　　　　　　　　　　　　　　　　　　　　　　　　　;16;    ;  ; ; 050;114;0540勝浦;正樹　　伊藤;正徳　　 2;54;.41;6  ;   ;   ;   ;   ;   ;   ;   ;   ;   ; ; ;  ; ; ; ; ;     ;     ;     ;     ;    プリ;ティマ;ッ00;9  ; 389                    ;  ;      ;      ;      ;  ;  ;00;00;090;8  ;    1;04421;025;439;0;-; ;210    ;       ;     ;     ;  ;  ; ;        
0616580104;1410171220161224;リライアブルアミ　　　　　　　　　　;1200;2;1;1;20;11;A3;002;3; ;　　　　　　　　　　　　　　　　　　　　　　　　　;16;    ;  ; ; 100;114;8550田中;勝春　　成島;英春　　  ;17;.00;4  ;   ;   ;   ;   ;   ;   ;   ;   ;   ; ; ;  ; ; ; ; ;     ;     ;     ;     ;    プリ;ティマ;ッ01;7  ; 397                    ;  ;      ;      ;      ;  ;  ;00;00;090;8  ;    1;03681;030;243;6;+; ;210    ;       ;     ;     ;  ;  ; ;        
0616580105;1410394020161224;アドバンスクライ　　　　　　　　　　;1200;2;1;1;20;11;A3;002;3; ;　　　　　　　　　　　　　　　　　　　　　　　　　;16;    ;  ; ; 160;117;2550津村;明秀　　武藤;善則　　  ;40;.20;9  ;   ;   ;   ;   ;   ;   ;   ;   ;   ; ; ;  ; ; ; ; ;     ;     ;     ;     ;    プリ;ティマ;ッ04;1  ; 426                    ;  ;      ;      ;      ;  ;  ;00;00;060;8  ;    1;05071;037;445;0;+; ;410    ;       ;     ;     ;  ;  ; ;        
0616580106;1410636220161224;アイアイハッピー　　　　　　　　　　;1200;2;1;1;20;11;A3;002;3; ;　　　　　　　　　　　　　　　　　　　　　　　　　;16;    ;  ; ; 090;114;4550石橋;脩　　　浅野;洋一郎　  ;65;.81;0  ;   ;   ;   ;   ;   ;   ;   ;   ;   ; ; ;  ; ; ; ; ;     ;     ;     ;     ;    プリ;ティマ;ッ01;3  ; 399                    ;  ;      ;      ;      ;  ;  ;00;00;060;5  ;    1;04971;029;247;0;-; ;610    ;       ;     ;     ;  ;  ; ;        
0616580107;1410433120161224;スプラッシュスリー　　　　　　　　　;1200;2;1;1;20;11;A3;002;3; ;　　　　　　　　　　　　　　　　　　　　　　　　　;16;    ;  ; ; 150;116;4540蛯名;正義　　武井;亮　　　  ;20;.60;5  ;   ;   ;   ;   ;   ;   ;   ;   ;   ; ; ;  ; ; ; ; ;     ;     ;     ;     ;    プリ;ティマ;ッ03;3  ; 422                    ;  ;      ;      ;      ;  ;  ;00;00;040;7  ;    1;03491;045;642;8;-; ;210    ;       ;     ;     ;  ;  ; ;        
0616580108;1410900620161224;トミケンナプロスト　　　　　　　　　;1200;2;1;1;20;11;A3;002;3; ;　　　　　　　　　　　　　　　　　　　　　　　　　;16;    ;  ; ; 130;115;4550武士;沢友治　南田;美知雄　 1;80;.81;3  ;   ;   ;   ;   ;   ;   ;   ;   ;   ; ; ;  ; ; ; ; ;     ;     ;     ;     ;    プリ;ティマ;ッ02;3  ; 392                    ;  ;      ;      ;      ;  ;  ;00;00;161;6  ;    1;04441;030;547;0;+;1;410    ;       ;     ;     ;  ;  ; ;        
0616580109;1410312020161224;ヤマタケシンバ　　　　　　　　　　　;1200;2;1;1;20;11;A3;002;3; ;　　　　　　　　　　　　　　　　　　　　　　　　　;16;    ;  ; ; 040;113;8550岩部;純二　　萱野;浩二　　  ;68;.01;1  ;   ;   ;   ;   ;   ;   ;   ;   ;   ; ; ;  ; ; ; ; ;     ;     ;     ;     ;    プリ;ティマ;ッ00;7  ; 380                    ;  ;      ;      ;      ;  ;  ;00;00;141;3  ;    1;04121;033;141;8;+; ;410    ;       ;     ;     ;  ;  ; ;        
0616580110;1410571520161224;デルマアンコツバキ　　　　　　　　　;1200;2;1;1;20;11;A3;002;3; ;　　　　　　　　　　　　　　　　　　　　　　　　　;16;    ;  ; ; 140;115;8510菊沢;一樹　　勢司;和浩　　 2;50;.51;5  ;   ;   ;   ;   ;   ;   ;   ;   ;   ; ; ;  ; ; ; ; ;     ;     ;     ;     ;    プリ;ティマ;ッ02;7  ; 403                    ;  ;      ;      ;      ;  ;  ;00;00;121;4  ;    1;05811;035;344;0;-; ;210    ;       ;     ;     ;  ;  ; ;        
